Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
Hampton,"25,522.00","27,037.00",89,13,66,19,4,20,5,8,10,12,14,26,17,9,2,3,8
Harmar Township,"18,125.00","21,380.00",75,5,44,36,5,33,12,17,14,13,17,19,5,3,4,6,1
Harrison Township,"17,265.00","21,086.00",70,6,54,38,6,34,11,18,14,13,13,18,8,4,6,7,5
Hays,"15,170.00","16,838.00",71,12,44,30,17,37,16,23,11,19,19,9,3,0,10,14,10
Haysville,"14,375.00","15,000.00",85.7,0,14.3,28.5,14.2,4,0,28.6,28.6,28.6,0,14.3,0,0,0,0,0
Hazelwood-Glenwood-Glen Hazel,"10,791.00","15,244.00",62,3,33,43,19,31,25,22,16,11,9,12,4,0,14,19,18
Heidelberg,"14,806.00","18,406.00",73,4,47,38,6,30,14,21,16,16,13,13,7,0,5,8,11
Highland Park,"20,445.00","25,318.00",82,9,47,26,9,22,13,11,19,17,11,14,9,6,5,7,5
Homestead,"8,262.00","12,886.00",53,3.1,30,43,20,34.1,36,21,13,10,6,7,6,0,17,23,25
Homewood North,"11,025.00","12,910.00",66,3,18,36,35,29,25,22,17,12,8,10,4,1,22,25,17
Homewood South,"7,885.00","9,150.00",62,3,16,33,34,28,33,27,15,12,6,5,2,0,36,39,24
Homewood West,"8,387.00","9,420.00",54,1,13,40,37,31,27,34,23,10,1,3,2,0,26,37,21
Indiana,"19,475.00","20,955.00",85,14,59,28,6,26.1,7,10,16,17,14,16,13,6,4,5,11
Ingram,"16,135.00","19,850.00",79,5,57,36,3,34,10,16,20,15,15,18,5,1,5,7,4
Jefferson,"21,723.00","23,525.00",84,7,53,29,3,33,5,12,14,12,17,23,11,5,5,4,9
Kennedy,"22,437.00","25,036.00",87,11,59,27,5,20,7,7,13,15,14,25,13,6,4.3,5.2,8
Kilbuck,"25,521.00","26,591.00",85,19,68,30,3,21,4,6,12,16,9,20,15,16,3,3,2
Knoxville,"15,495.00","18,326.00",75,5,44,37,15,32,18,15,15,16,12,15,7,2,12,13,10
Larimer,"7,542.00","10,888.00",54,3,15,38,28,30,36,21,13,13,6,8,1,2,27,32,40
Leet Township,"24,000.00","25,000.00",90,6,59,24,4,30,4,9,10,13,19,24,15,6,2,2,3
Leetsdale,"16,014.00","20,893.00",76,5,48,36,8,35,12,14,21,13,11,16,11,2,6,7,7
Liberty,"20,000.00","22,767.00",77,4,51,34,5,36,8,14,13,15,17,19,8,1,2,5,4
Lincoln,"21,114.00","22,844.00",80,7.2,47.1,47,28,7,6,16,11,13,18,24,9,3,3,4,2
Lincoln-Lemington-Belmar,"15,192.00","16,436.00",76,4,23,32,18,24,17,17,15,19,9,15,6,1,14,17,12
Lincoln Place,"19,889.00","21,823.00",76,7,55,35,7,42,7,13,10,19,16,21,10,3,4,5,7
Lower Lawrenceville,"9,098.00","13,428.00",66,4,36,38,20,35,24,32,15,12,5,9,2,1,10,20,24
Manchester,"9,262.00","12,188.00",62,3,15,43,35,20,28,25,16,10,10,8,3,1,14,23,41
Marshall,"25,227.00","26,886.00",89,15,65,27,5,28,7,4,15,13,11,30,15,5,3,4,5
Marshall Shadeland,"14,001.00","17,680.00",69,3,44,41,14,33,20,19,14,14,14,10,6,2,10,12,9
McCandless,"27,044.00","29,373.00",90,12,69,18,2,20,4,6,9,13,14,24,19,12,2,4,10
McDonald,"17,054.00","18,897.00",69,2,41,39,7,34,11,20,13,18,16,11,9,2,10,12,14
McKees Rocks,"12,042.00","15,453.00",68,4,40,41,16,30,23,20,16,13,15,7,5,2,16,17,8
McKeesport,"12,971.00","17,129.00",65,4,37,40,16,33,21,19,16,12,12,13,6,2,11,14,11
Middle Hill,"8,162.00","11,291.00",55,2,7,41,30,24,37,21,15,9,7,8,2,0,25,30,27
Millvale,"12,665.00","15,342.00",71,5,39,41,7,32,18,23,18,18,11,9,3,0,9,13,13
Monroeville,"23,003.00","25,390.00",88,9,60,20,4,23,6,9,10,16,15,21,16,6,3,4,7
Moon,"24,554.00","26,588.00",93,9,58,13,4,20,5,7,13,12,16,26,15,5,4,4,11
Morningside,"16,557.00","18,844.00",76,4,59,37,7,37,13,14,18,16,9,18,10,1,7,8,11
Mt. Lebanon,"26,603.00","31,809.00",80,13,74,31,3,24,5,10,10,10,12,20,18,16,2,3,3
Mt. Oliver Neighborhood,"16,447.00","17,204.00",72,6,54,28,12,32,4,21,16,19,14,20,6,0,0,1,5
Mt. Oliver,"14,141.00","17,634.00",71,39,42,39,12,33,16,23,14,17,15,11,4,1,8,10,8
Mt. Washington,"14,493.00","18,160.00",78,7,45,35,9,31,14,19,18,15,12,15,5,2,8,12,13
Munhall,"19,113.00","22,147.00",73,4,56,40,7,37,9,16,15,12,16,20,9,2,4,6,6
Neville,"16,815.00","21,037.00",76,4,52,38,6,31,11,19,16,14,16,17,6,1,4,7,6
New Homestead,"20,799.00","21,944.00",82,4,58,31,10,36,6,14,11,14,18,17,14,4,4,5,7
North Braddock,"13,218.00","16,959.00",66,4,37,40,17,32,20,19,17,14,13,12,4,1,9,12,17
North Fayette,"19,907.00","21,842.00",88,6,46,23,3,29,8,12,15,16,16,21,10,3,4,5,15
